profile,ear,band,active_prescription,edge_low_hz,edge_high_hz,centre_hz,noise_gate_knee_db_spl,camfit_compression_ratio,gain_at_45_db_spl,gain_at_65_db_spl,gain_at_85_db_spl,limiter_input_knee_db_spl,maximum_output_db_spl,attack_ms,release_ms,rms_level_time_constant_ms,implementation_note
N2,right,1,True,0.0000,229.2793,177.0000,38,1.680503,5.679194,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N2,right,2,True,229.2793,385.3570,297.0000,38,1.295743,3.202330,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
N2,right,3,True,385.3570,648.4597,500.0000,36,1.014064,1.811814,1.534443,1.257072,99.0,100,20,100,100,CAMFIT table
N2,right,4,True,648.4597,1090.5000,841.0000,37,1.012534,7.797332,7.549764,7.302197,93.0,100,20,100,100,CAMFIT table
N2,right,5,True,1090.5000,1833.7000,1414.0000,32,1.179169,14.101492,11.062588,8.023684,94.0,100,20,100,100,CAMFIT table
N2,right,6,True,1833.7000,3084.2000,2378.0000,26,1.223245,18.287691,14.637649,10.987608,90.0,100,20,100,100,CAMFIT table
N2,right,7,True,3084.2000,5187.3000,4000.0000,23,1.448158,21.364873,15.175517,8.986160,94.0,100,20,100,100,CAMFIT table
N2,right,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,26.465333,13.307438,0.149543,100.0,100,20,100,100,CAMFIT table
N2,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N3,left,1,True,0.0000,229.2793,177.0000,38,2.731043,15.191280,2.514490,0.000000,100.0,100,20,100,100,CAMFIT table
N3,left,2,True,229.2793,385.3570,297.0000,38,1.765242,13.194958,4.524851,0.000000,100.0,100,20,100,100,CAMFIT table
N3,left,3,True,385.3570,648.4597,500.0000,36,1.280626,12.146798,7.764163,3.381529,100.0,100,20,100,100,CAMFIT table
N3,left,4,True,648.4597,1090.5000,841.0000,37,1.245406,16.232472,12.291486,8.350500,94.0,100,20,100,100,CAMFIT table
N3,left,5,True,1090.5000,1833.7000,1414.0000,32,1.555714,22.524539,15.380372,8.236205,96.0,100,20,100,100,CAMFIT table
N3,left,6,True,1833.7000,3084.2000,2378.0000,26,1.633360,25.844127,18.088822,10.333517,93.0,100,20,100,100,CAMFIT table
N3,left,7,True,3084.2000,5187.3000,4000.0000,23,2.060713,28.408919,18.114299,7.819679,100.0,100,20,100,100,CAMFIT table
N3,left,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,41.465333,28.307438,15.000000,85.0,100,20,100,100,CAMFIT table
N3,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N3,right,1,True,0.0000,229.2793,177.0000,38,2.731043,15.191280,2.514490,0.000000,100.0,100,20,100,100,CAMFIT table
N3,right,2,True,229.2793,385.3570,297.0000,38,1.765242,13.194958,4.524851,0.000000,100.0,100,20,100,100,CAMFIT table
N3,right,3,True,385.3570,648.4597,500.0000,36,1.280626,12.146798,7.764163,3.381529,100.0,100,20,100,100,CAMFIT table
N3,right,4,True,648.4597,1090.5000,841.0000,37,1.245406,16.232472,12.291486,8.350500,94.0,100,20,100,100,CAMFIT table
N3,right,5,True,1090.5000,1833.7000,1414.0000,32,1.555714,22.524539,15.380372,8.236205,96.0,100,20,100,100,CAMFIT table
N3,right,6,True,1833.7000,3084.2000,2378.0000,26,1.633360,25.844127,18.088822,10.333517,93.0,100,20,100,100,CAMFIT table
N3,right,7,True,3084.2000,5187.3000,4000.0000,23,2.060713,28.408919,18.114299,7.819679,100.0,100,20,100,100,CAMFIT table
N3,right,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,41.465333,28.307438,15.000000,85.0,100,20,100,100,CAMFIT table
N3,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N4,left,1,True,0.0000,229.2793,177.0000,38,2.923077,34.614549,21.456655,8.298760,100.0,100,20,100,100,CAMFIT table
N4,left,2,True,229.2793,385.3570,297.0000,38,2.923077,27.721004,14.563110,1.405215,100.0,100,20,100,100,CAMFIT table
N4,left,3,True,385.3570,648.4597,500.0000,36,1.971671,25.926775,16.070457,6.214138,100.0,100,20,100,100,CAMFIT table
N4,left,4,True,648.4597,1090.5000,841.0000,37,1.796935,27.489363,18.619424,9.749485,95.0,100,20,100,100,CAMFIT table
N4,left,5,True,1090.5000,1833.7000,1414.0000,32,2.285565,30.947586,19.698156,8.448726,100.0,100,20,100,100,CAMFIT table
N4,left,6,True,1833.7000,3084.2000,2378.0000,26,2.457174,33.400563,21.539995,9.679427,99.0,100,20,100,100,CAMFIT table
N4,left,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,37.859924,24.702029,11.544134,96.0,100,20,100,100,CAMFIT table
N4,left,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,41.0,100,20,100,100,CAMFIT table
N4,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N4,right,1,True,0.0000,229.2793,177.0000,38,2.923077,34.614549,21.456655,8.298760,100.0,100,20,100,100,CAMFIT table
N4,right,2,True,229.2793,385.3570,297.0000,38,2.923077,27.721004,14.563110,1.405215,100.0,100,20,100,100,CAMFIT table
N4,right,3,True,385.3570,648.4597,500.0000,36,1.971671,25.926775,16.070457,6.214138,100.0,100,20,100,100,CAMFIT table
N4,right,4,True,648.4597,1090.5000,841.0000,37,1.796935,27.489363,18.619424,9.749485,95.0,100,20,100,100,CAMFIT table
N4,right,5,True,1090.5000,1833.7000,1414.0000,32,2.285565,30.947586,19.698156,8.448726,100.0,100,20,100,100,CAMFIT table
N4,right,6,True,1833.7000,3084.2000,2378.0000,26,2.457174,33.400563,21.539995,9.679427,99.0,100,20,100,100,CAMFIT table
N4,right,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,37.859924,24.702029,11.544134,96.0,100,20,100,100,CAMFIT table
N4,right,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,41.0,100,20,100,100,CAMFIT table
N4,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N5,left,1,True,0.0000,229.2793,177.0000,38,2.923077,44.614549,31.456655,15.000000,76.0,100,20,100,100,CAMFIT table
N5,left,2,True,229.2793,385.3570,297.0000,38,2.923077,38.783187,25.625292,12.467398,93.0,100,20,100,100,CAMFIT table
N5,left,3,True,385.3570,648.4597,500.0000,36,2.923077,37.175028,24.017133,10.859239,98.0,100,20,100,100,CAMFIT table
N5,left,4,True,648.4597,1090.5000,841.0000,37,2.923077,40.109977,26.952082,13.794187,89.0,100,20,100,100,CAMFIT table
N5,left,5,True,1090.5000,1833.7000,1414.0000,32,2.923077,47.890076,34.732181,15.000000,66.0,100,20,100,100,CAMFIT table
N5,left,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,43.913540,30.755645,15.000000,78.0,100,20,100,100,CAMFIT table
N5,left,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,42.859924,29.702029,15.000000,81.0,100,20,100,100,CAMFIT table
N5,left,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,41.0,100,20,100,100,CAMFIT table
N5,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N5,right,1,True,0.0000,229.2793,177.0000,38,2.923077,44.614549,31.456655,15.000000,76.0,100,20,100,100,CAMFIT table
N5,right,2,True,229.2793,385.3570,297.0000,38,2.923077,38.783187,25.625292,12.467398,93.0,100,20,100,100,CAMFIT table
N5,right,3,True,385.3570,648.4597,500.0000,36,2.923077,37.175028,24.017133,10.859239,98.0,100,20,100,100,CAMFIT table
N5,right,4,True,648.4597,1090.5000,841.0000,37,2.923077,40.109977,26.952082,13.794187,89.0,100,20,100,100,CAMFIT table
N5,right,5,True,1090.5000,1833.7000,1414.0000,32,2.923077,47.890076,34.732181,15.000000,66.0,100,20,100,100,CAMFIT table
N5,right,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,43.913540,30.755645,15.000000,78.0,100,20,100,100,CAMFIT table
N5,right,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,42.859924,29.702029,15.000000,81.0,100,20,100,100,CAMFIT table
N5,right,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,41.0,100,20,100,100,CAMFIT table
N5,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N6,left,1,True,0.0000,229.2793,177.0000,38,2.923077,54.614549,35.000000,15.000000,47.0,100,20,100,100,CAMFIT table
N6,left,2,True,229.2793,385.3570,297.0000,38,2.923077,48.783187,35.000000,15.000000,64.0,100,20,100,100,CAMFIT table
N6,left,3,True,385.3570,648.4597,500.0000,36,2.923077,47.175028,34.017133,15.000000,68.0,100,20,100,100,CAMFIT table
N6,left,4,True,648.4597,1090.5000,841.0000,37,2.923077,50.109977,35.000000,15.000000,60.0,100,20,100,100,CAMFIT table
N6,left,5,True,1090.5000,1833.7000,1414.0000,32,2.923077,55.000000,35.000000,15.000000,37.0,100,20,100,100,CAMFIT table
N6,left,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,55.000000,35.000000,15.000000,42.0,100,20,100,100,CAMFIT table
N6,left,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,55.000000,35.000000,15.000000,23.0,100,20,100,100,CAMFIT table
N6,left,8,True,5187.3000,8724.1000,6727.0000,22,,55.000000,35.000000,15.000000,22.0,100,20,100,100,CAMFIT table
N6,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N6,right,1,True,0.0000,229.2793,177.0000,38,2.923077,54.614549,35.000000,15.000000,47.0,100,20,100,100,CAMFIT table
N6,right,2,True,229.2793,385.3570,297.0000,38,2.923077,48.783187,35.000000,15.000000,64.0,100,20,100,100,CAMFIT table
N6,right,3,True,385.3570,648.4597,500.0000,36,2.923077,47.175028,34.017133,15.000000,68.0,100,20,100,100,CAMFIT table
N6,right,4,True,648.4597,1090.5000,841.0000,37,2.923077,50.109977,35.000000,15.000000,60.0,100,20,100,100,CAMFIT table
N6,right,5,True,1090.5000,1833.7000,1414.0000,32,2.923077,55.000000,35.000000,15.000000,37.0,100,20,100,100,CAMFIT table
N6,right,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,55.000000,35.000000,15.000000,42.0,100,20,100,100,CAMFIT table
N6,right,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,55.000000,35.000000,15.000000,23.0,100,20,100,100,CAMFIT table
N6,right,8,True,5187.3000,8724.1000,6727.0000,22,,55.000000,35.000000,15.000000,22.0,100,20,100,100,CAMFIT table
N6,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N7,left,1,True,0.0000,229.2793,177.0000,38,2.923077,55.000000,35.000000,15.000000,38.0,100,20,100,100,CAMFIT table
N7,left,2,True,229.2793,385.3570,297.0000,38,2.923077,55.000000,35.000000,15.000000,38.0,100,20,100,100,CAMFIT table
N7,left,3,True,385.3570,648.4597,500.0000,36,2.923077,55.000000,35.000000,15.000000,36.0,100,20,100,100,CAMFIT table
N7,left,4,True,648.4597,1090.5000,841.0000,37,2.923077,55.000000,35.000000,15.000000,37.0,100,20,100,100,CAMFIT table
N7,left,5,True,1090.5000,1833.7000,1414.0000,32,,55.000000,35.000000,15.000000,32.0,100,20,100,100,CAMFIT table
N7,left,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,55.000000,35.000000,15.000000,26.0,100,20,100,100,CAMFIT table
N7,left,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,55.000000,35.000000,15.000000,23.0,100,20,100,100,CAMFIT table
N7,left,8,True,5187.3000,8724.1000,6727.0000,22,,55.000000,35.000000,15.000000,22.0,100,20,100,100,CAMFIT table
N7,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
N7,right,1,True,0.0000,229.2793,177.0000,38,2.923077,55.000000,35.000000,15.000000,38.0,100,20,100,100,CAMFIT table
N7,right,2,True,229.2793,385.3570,297.0000,38,2.923077,55.000000,35.000000,15.000000,38.0,100,20,100,100,CAMFIT table
N7,right,3,True,385.3570,648.4597,500.0000,36,2.923077,55.000000,35.000000,15.000000,36.0,100,20,100,100,CAMFIT table
N7,right,4,True,648.4597,1090.5000,841.0000,37,2.923077,55.000000,35.000000,15.000000,37.0,100,20,100,100,CAMFIT table
N7,right,5,True,1090.5000,1833.7000,1414.0000,32,,55.000000,35.000000,15.000000,32.0,100,20,100,100,CAMFIT table
N7,right,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,55.000000,35.000000,15.000000,26.0,100,20,100,100,CAMFIT table
N7,right,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,55.000000,35.000000,15.000000,23.0,100,20,100,100,CAMFIT table
N7,right,8,True,5187.3000,8724.1000,6727.0000,22,,55.000000,35.000000,15.000000,22.0,100,20,100,100,CAMFIT table
N7,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
S1,left,1,True,0.0000,229.2793,177.0000,38,1.165205,1.988463,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,left,2,True,229.2793,385.3570,297.0000,38,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,left,3,True,385.3570,648.4597,500.0000,36,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,left,4,True,648.4597,1090.5000,841.0000,37,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,left,5,True,1090.5000,1833.7000,1414.0000,32,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,left,6,True,1833.7000,3084.2000,2378.0000,26,1.000000,9.175341,9.175341,9.175341,91.0,100,20,100,100,CAMFIT table
S1,left,7,True,3084.2000,5187.3000,4000.0000,23,1.806065,26.060904,17.134705,8.208506,98.0,100,20,100,100,CAMFIT table
S1,left,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,46.465333,33.307438,15.000000,70.0,100,20,100,100,CAMFIT table
S1,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
S1,right,1,True,0.0000,229.2793,177.0000,38,1.165205,1.988463,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,right,2,True,229.2793,385.3570,297.0000,38,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,right,3,True,385.3570,648.4597,500.0000,36,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,right,4,True,648.4597,1090.5000,841.0000,37,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,right,5,True,1090.5000,1833.7000,1414.0000,32,1.000000,0.000000,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S1,right,6,True,1833.7000,3084.2000,2378.0000,26,1.000000,9.175341,9.175341,9.175341,91.0,100,20,100,100,CAMFIT table
S1,right,7,True,3084.2000,5187.3000,4000.0000,23,1.806065,26.060904,17.134705,8.208506,98.0,100,20,100,100,CAMFIT table
S1,right,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,46.465333,33.307438,15.000000,70.0,100,20,100,100,CAMFIT table
S1,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
S2,left,1,True,0.0000,229.2793,177.0000,38,1.680503,5.679194,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S2,left,2,True,229.2793,385.3570,297.0000,38,1.295743,3.202330,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S2,left,3,True,385.3570,648.4597,500.0000,36,1.014064,1.811814,1.534443,1.257072,99.0,100,20,100,100,CAMFIT table
S2,left,4,True,648.4597,1090.5000,841.0000,37,1.012534,7.797332,7.549764,7.302197,93.0,100,20,100,100,CAMFIT table
S2,left,5,True,1090.5000,1833.7000,1414.0000,32,1.266469,16.500328,12.292269,8.084209,94.0,100,20,100,100,CAMFIT table
S2,left,6,True,1833.7000,3084.2000,2378.0000,26,2.192132,31.589146,20.712685,9.836224,97.0,100,20,100,100,CAMFIT table
S2,left,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,55.000000,35.000000,15.000000,37.0,100,20,100,100,CAMFIT table
S2,left,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,22.0,100,20,100,100,CAMFIT table
S2,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
S2,right,1,True,0.0000,229.2793,177.0000,38,1.680503,5.679194,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S2,right,2,True,229.2793,385.3570,297.0000,38,1.295743,3.202330,0.000000,0.000000,100.0,100,20,100,100,CAMFIT table
S2,right,3,True,385.3570,648.4597,500.0000,36,1.014064,1.811814,1.534443,1.257072,99.0,100,20,100,100,CAMFIT table
S2,right,4,True,648.4597,1090.5000,841.0000,37,1.012534,7.797332,7.549764,7.302197,93.0,100,20,100,100,CAMFIT table
S2,right,5,True,1090.5000,1833.7000,1414.0000,32,1.266469,16.500328,12.292269,8.084209,94.0,100,20,100,100,CAMFIT table
S2,right,6,True,1833.7000,3084.2000,2378.0000,26,2.192132,31.589146,20.712685,9.836224,97.0,100,20,100,100,CAMFIT table
S2,right,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,55.000000,35.000000,15.000000,37.0,100,20,100,100,CAMFIT table
S2,right,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,22.0,100,20,100,100,CAMFIT table
S2,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
S3,left,1,True,0.0000,229.2793,177.0000,38,2.301064,11.831690,0.523321,0.000000,100.0,100,20,100,100,CAMFIT table
S3,left,2,True,229.2793,385.3570,297.0000,38,1.575012,9.864082,2.562396,0.000000,100.0,100,20,100,100,CAMFIT table
S3,left,3,True,385.3570,648.4597,500.0000,36,1.280626,12.146798,7.764163,3.381529,100.0,100,20,100,100,CAMFIT table
S3,left,4,True,648.4597,1090.5000,841.0000,37,1.691924,25.911686,17.732550,9.553414,95.0,100,20,100,100,CAMFIT table
S3,left,5,True,1090.5000,1833.7000,1414.0000,32,2.923077,37.161992,24.004097,10.846202,98.0,100,20,100,100,CAMFIT table
S3,left,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,41.048281,27.890387,14.732492,86.0,100,20,100,100,CAMFIT table
S3,left,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,42.859924,29.702029,15.000000,81.0,100,20,100,100,CAMFIT table
S3,left,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,27.0,100,20,100,100,CAMFIT table
S3,left,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
S3,right,1,True,0.0000,229.2793,177.0000,38,2.301064,11.831690,0.523321,0.000000,100.0,100,20,100,100,CAMFIT table
S3,right,2,True,229.2793,385.3570,297.0000,38,1.575012,9.864082,2.562396,0.000000,100.0,100,20,100,100,CAMFIT table
S3,right,3,True,385.3570,648.4597,500.0000,36,1.280626,12.146798,7.764163,3.381529,100.0,100,20,100,100,CAMFIT table
S3,right,4,True,648.4597,1090.5000,841.0000,37,1.691924,25.911686,17.732550,9.553414,95.0,100,20,100,100,CAMFIT table
S3,right,5,True,1090.5000,1833.7000,1414.0000,32,2.923077,37.161992,24.004097,10.846202,98.0,100,20,100,100,CAMFIT table
S3,right,6,True,1833.7000,3084.2000,2378.0000,26,2.923077,41.048281,27.890387,14.732492,86.0,100,20,100,100,CAMFIT table
S3,right,7,True,3084.2000,5187.3000,4000.0000,23,2.923077,42.859924,29.702029,15.000000,81.0,100,20,100,100,CAMFIT table
S3,right,8,True,5187.3000,8724.1000,6727.0000,22,2.923077,55.000000,35.000000,15.000000,27.0,100,20,100,100,CAMFIT table
S3,right,9,False,8724.1000,22050.0000,11314.0000,8,,0.000000,0.000000,0.000000,,100,20,100,100,unity passthrough; boundary band
